Original_Date,Headline,Link,Description,Author,Full_info,Locations,Organizations,People,Topics,Events,Date,Updated_Date
"Apr 16, 2025 at 08:16",Venture Global Begins Contracted Calcasieu Pass LNG Deliveries,https://oilprice.com/Latest-Energy-News/World-News/Venture-Global-Begins-Contracted-Calcasieu-Pass-LNG-Deliveries.html,"U.S. LNG exporter Venture Global has started contractual deliveries from its first LNG export project, Calcasieu Pass, to its long-term customers amid an ongoing dispute with major oil and…",Charles Kennedy,"According to Venture Global, the start of commercial operations at Calcasieu Pass and the multi-billion-dollar long-term contracts will have a significant positive impact on the US balance of trade with several European allies. However, Shell, BP, and several other European energy majors have been in a dispute with Venture Global after the U.S. LNG exporter refused to start deliveries to them under long-term contracts in favor of selling its LNG on the spot market, making billions of dollar, according to the clients. BP, Shell, and Spain s Repsol, along with two other European energy companies, were foundation buyers for the Calcasieu Pass facility, meaning they provided Venture Global with the money to build the place in Louisiana in exchange for a commitment from the company to supply them with certain volumes of LNG over a long-term period.","['US', 'U.S.', 'Spain', 'Louisiana']","['Venture Global', 'Shell', 'BP', 'Venture Global', 'LNG', 'BP', 'Shell', 'Venture Global', 'LNG']",[],['energy'],[],2025-04-16,2025-04-16
"Apr 16, 2025 at 08:08",Thailand Joins Countries Looking to Hike U.S. LNG Imports to Avoid Tariffs,https://oilprice.com/Latest-Energy-News/World-News/Thailand-Joins-Countries-Looking-to-Hike-US-LNG-Imports-to-Avoid-Tariffs.html,Thailand is the latest Asian economy looking to import higher volumes of American energy as a way to convince the U.S. Administration not to slap high tariffs on Thai goods…,Tsvetana Paraskova,"Thailand is the latest Asian economy looking to import higher volumes of American energy as a way to convince the U.S. Administration not to slap high tariffs on Thai goods sold in the United States. Thailand will also seek another LNG deal over the next five years, worth $600 million, as well as importing ethane from the U.S., worth about $100 million over the next four years, according to the energy minister. Earlier this week, Indonesia, threatened with a 32% tariff, said it would offer to buy an additional$10 billion worthof American oil and liquefied petroleum gas (LPG). Indonesia is just one of the countries looking to buy their way out of steep tariffs with deals to purchase American energy products. South Asian nation Pakistan is actively considering the idea of importing U.S. crude oilfor the first timeto seek a reduction of its trade surplus with America.","['Thailand', 'the United States', 'Thailand', 'U.S.', 'Indonesia', 'Indonesia', 'Pakistan', 'U.S.', 'America']","['the U.S. Administration', 'LNG', 'worthof']",[],"['crude', 'petroleum', 'energy']",[],2025-04-16,2025-04-16
"Apr 16, 2025 at 05:42",Egypt and Azerbaijan Consider Strategic Oil and Gas Partnership,https://oilprice.com/Latest-Energy-News/World-News/Egypt-and-Azerbaijan-Consider-Strategic-Oil-and-Gas-Partnership.html,"Senior executives from Azerbaijan’s state oil firm SOCAR this week discussed with Egyptian officials and executives the idea to establish a strategic Egyptian-Azeri partnership in the oil and gas sector,…",Tsvetana Paraskova,"Senior executives from Azerbaijan s state oil firm SOCAR this week discussed with Egyptian officials and executives the idea to establish a strategic Egyptian-Azeri partnership in the oil and gas sector, Egypt s Ministry of Petroleum and Mineral Resourcessaid. Egyptian Petroleum Minister Karim Badawi met in Cairo with Elkhan Polukhov, Azerbaijan s Ambassador to Egypt, and an accompanying Azeri delegation, which included Zaur Hasanov, Director of Business Development at SOCAR. The meeting was also attended by Salah Abdel Karim, CEO of the Egyptian General Petroleum Corporation (EGPC).","['Azerbaijan', 'Egypt', 'Cairo', 'Azerbaijan', 'Egypt']","['SOCAR', 'Ministry of Petroleum and Mineral Resourcessaid', 'Business Development', 'the Egyptian General Petroleum Corporation']","['Karim Badawi', 'Elkhan Polukhov', 'Zaur Hasanov', 'Salah Abdel Karim']",['petroleum'],[],2025-04-16,2025-04-16
"Apr 16, 2025 at 04:38",Lower Clean Energy Output Boosts Europe’s Power Emissions,https://oilprice.com/Latest-Energy-News/World-News/Lower-Clean-Energy-Output-Boosts-Europes-Power-Emissions.html,Carbon emissions from Europe’s power generators jumped in the first quarter of 2025 to the highest in two years as lower wind and solar output led to an increase in…,Tsvetana Paraskova,"The January-March CO2 emission levels were the highest from the European power sector for any quarter since the beginning of 2023, according to data by energy think tank Embercitedby Reuters columnist Gavin Maguire. The surge in emissions bucks the trend of the past two years and is due to the slump in renewable energy output this winter.",[],['Embercitedby Reuters'],['Gavin Maguire'],['energy'],[],2025-04-16,2025-04-16
"Apr 16, 2025 at 02:49",China Coal Generation Declines in Q1,https://oilprice.com/Latest-Energy-News/World-News/China-Coal-Generation-Declines-in-Q1.html,"China’s thermal power generation, which mainly uses coal and also some natural gas, declined slightly over the first quarter thanks to stronger hydropower generation and wind and solar, Reuters has…",Irina Slav,"Per figures from the National Energy Administration, which does take these into account, demand for electricity as represented by output, rose by 1.3% during the first two months of the year.",[],['the National Energy Administration'],[],['energy'],[],2025-04-16,2025-04-16
"Apr 16, 2025 at 02:17",Trump Considers Tariffs on Critical Mineral Imports,https://oilprice.com/Latest-Energy-News/World-News/Trump-Considers-Tariffs-on-Critical-Mineral-Imports.html,"President Trump has tasked the Department of Commerce with studying the potential for imposing tariffs on critical minerals as part of a trade offensive against China, which is the dominant…",Irina Slav,"President Trump has tasked the Department of Commerce with studying the potential for imposing tariffs on critical minerals as part of a trade offensive against China, which is the dominant player in all things critical minerals. In anexecutive ordersigned on Tuesday, Trump directed the department to investigate the United States dependence on imports of critical minerals, arguing that excessive reliance has negative national security implications. Processed critical minerals and their derivative products face significant global supply chain vulnerabilities and market distortions due to reliance on a small number of foreign suppliers, the order read. These vulnerabilities and distortions have led to significant United States import dependencies. The dependence of the United States on imports and the vulnerability of our supply chains raises the potential for risks to national security, defense readiness, price stability, and economic prosperity and resilience. Tariffing critical mineral imports would be a rather risky move precisely because of China s overwhelming dominance in the sector on a global scale.","['China', 'the United States', 'United States', 'the United States', 'China']",['the Department of Commerce'],"['Trump', 'Trump']",['supply chain'],[],2025-04-16,2025-04-16
"Apr 16, 2025 at 02:14",Oil Prices Reverse Gains as Traders Take a Break,https://oilprice.com/Latest-Energy-News/World-News/Oil-Prices-Reverse-Gains-as-Traders-Take-a-Break.html,Crude oil prices moved lower earlier today while traders took a step back to assess the situation and how deeply Trump’s tariffs would affect economic growth prospects and the global…,Irina Slav,"Crude oil prices moved lower earlier today while traders took a step back to assess the situation and how deeply Trump s tariffs would affect economic growth prospects and the global oil demand outlook. Later in the day, however, prices may yet rebound after Chinareportedstronger than expected GDP growth during the first quarter, a day after reporting a strong rise in crude oil imports in March. China, meanwhile,reportedMarch oil imports of over 12 million barrels daily, which was the highest import rate since August 2023, and came thanks to a ramp-up in purchases from Iran and Russia as traders found ways around the latest U.S. sanctions on both exporters. China s crude oil imports over the first two months of the year fell by 5% compared to the same period of 2024 as the farewell round of sanctions that the Biden administration imposed on Russian energy affected international flows. The analyst recommended a forceful and timely policy response to limit the adverse effects of the tariff war on the Chinese economy.","['China', 'Iran', 'Russia', 'U.S.', 'China']",[],"['Trump', 'Biden']","['sanctions', 'oil demand', 'war', 'crude', 'oil prices', 'energy']",[],2025-04-16,2025-04-16
